Row Labels,VOL 2020
265854,671
265982,1145
266431,321
268573,1520
268720,838
268956,123
269264,353
269782,2168
271386,5026
272862,549
274076,3600
274367,610
274639,986
274709,1407
274950,1227
275242,49962
276210,3354
278049,1155
278428,332
279237,969
279814,647
280243,428
281391,2571
281486,220
281659,31
282854,496
284087,1673
284276,1135
285459,2848
285591,91323
285685,312
287017,3715
288241,1103
289215,241
291584,42
291647,995
292545,535
292640,446
294213,693
295997,1659
296519,67
297146,2336
298042,998
298252,638
298506,9062
299235,407
299271,598
300385,332
300524,51973
300970,2217
301401,495
302006,240
302174,655
302918,425
304028,464
304206,846
304715,2173
305364,763
305912,1324
306021,786
307244,863
308228,2140
308930,3781
310089,152
310159,276
311065,2554
311781,1750
312033,436
315742,1842
317325,439
317344,5942
319000,848
319103,481
321504,24704
321548,516
322070,931
322111,4330
322643,2509
323757,616
325697,4135
326191,488
327083,926
327589,736
328820,8937
329285,352
330092,5223
330188,260
330752,947
331166,690
332301,1007
334585,6861
334809,42
335365,125
335977,126
336112,1878
336957,1059
337315,126
338088,1192
338159,1038
340522,1223
341137,50774
342831,676
343799,6125
343869,506
344016,561
345956,1526
346874,836
347198,475
348172,341
348298,1856
348364,530
351393,46
352841,7642
354288,274
355865,394
355983,234
356029,440
356347,846
356376,217
356557,37
357115,8114
357156,1580
357536,647
358330,522
359427,10944
360779,488
361580,265
361767,354
362024,1617
362593,348
362752,458
363105,4631
364211,1763
364772,3888
365454,1670164
367292,627
367606,431
368165,296
370402,734
370713,8214
370741,298
371183,2196
372807,121
373323,859
376400,1529
376571,547
376825,4966
377138,12433
377975,2912
378046,14050
378111,8
378180,354
379351,684
380778,642
381148,516
382014,645
382046,667
383269,293
383360,14039
384153,435
385157,1562
386483,3931
387617,589
387964,362
388680,270
389562,826
391182,689
394658,1506
395128,141
395268,700
395393,1731
395545,685
396334,321
396666,7924
397317,872
398217,2112
399309,2680
399481,601
406044,2761
406526,196
407849,337
409165,1218
409987,23144
410803,1019
410920,211
411277,403
412102,1151
413260,1522
416234,1392
417992,68292
418060,3102
418121,1208
418746,6264
418906,355
419333,235
419370,461
419689,610
419963,2294
420685,7498
420933,274
421202,444
422981,1924
425631,629
425741,726
426295,1815
426378,2371
426551,2754
427576,446
429304,389
430465,1154
431059,789
431203,3525
431901,2219
432570,2343
432626,559
433797,24
434228,711
434795,188
435532,2022
436279,5992
436705,26746
437883,2837
439321,1097
439845,1529
443093,336
444323,2856
444342,9280
445165,1942
445427,100
446598,378
448358,80830
449447,2638
450448,177
450665,183
450909,864
451525,795
453425,1164
454189,129
455776,642
456064,852
456397,4972
458751,364
458995,5910
460196,220
463435,12187
463439,1807
463506,201
464323,920
465284,44
465717,576
467168,490
467379,1393
468387,660
468740,616
470388,4644
471772,552
471779,36
471990,1101
473686,634
473880,357
475022,1274
477680,549
479642,1258
480726,339
480958,754
481481,747
481611,1267
481725,3335
482514,3522
482721,2991
482908,887
484348,593
486606,1139
486959,1952
487526,3850
488282,2862
488451,242
489265,1733
489866,1241
489912,3428
490002,7054
493749,419
493829,526
494081,3342
495033,1133
495220,2305
495303,1820
496278,1590
496986,11561
498630,590
499874,1416
502005,141
502445,9203
503898,499
504707,6187
504999,1820
505975,2819
506621,3871
507099,888
508121,8172
510281,32943
511410,794
512018,285
513101,569
514529,288
516323,1576
516347,2995
516356,4657
516441,263
516564,482
516720,2572
518132,682
519571,1310
520756,675
521585,2389
523748,2229
523944,72632
524698,856
525246,184
526361,852
526683,1330
526822,34708
527429,430
529707,217
530757,572
531156,700
532970,5176
533043,375
533066,54351
533584,1906
535281,80142
536593,724
537177,22048
537682,3785
538373,346
539019,533
543674,1076
543754,566
544086,3820
544530,706
545155,999
545859,367
546233,1825
549673,72
549830,3345
549892,92922
551161,364
551230,4886
551760,190
552593,865
552999,278
553239,4549
555123,1967
555322,4069
555495,511
555892,512
557297,1760
559966,1044
561536,143
561589,5683
563657,1391
565696,323
565807,850
565885,221
565950,5471
565982,361
566097,1505
567893,2343
567933,518
568233,285
568922,375
569642,1673
571037,3883
572558,1365
572560,14217
577746,661
578432,2945
579212,2364
580673,27366
582628,2042
583747,1033
583835,822
584336,10789
585409,3085
585461,5798
585528,1163
586917,32156
588172,928
588881,900
589713,479
591737,489
594731,2911
595335,2461
595926,7020
596399,248
596623,2424
596868,12136
597057,1216
599784,208
600731,579
601436,351
604097,24
605801,1599
606441,494
606780,383
607210,701
607252,215
607647,167
607793,386
608276,1771
608500,6935
608546,827
609152,1603
610356,709
612478,682
612542,9253
613286,1492
613325,280
614946,288
616880,23819
617120,2635
617439,109254
618317,1314
618759,1342
620159,559
620684,1020
623462,5890
623642,389
624498,406
625311,171
627447,4706
627618,1495
628471,609
630442,11191
631279,583
632516,712
632544,910
633761,6255
634068,991
635000,2857
635789,2219
636159,420
636552,992
636837,1437
636976,431
637874,606
638816,606
641216,36
641781,291
642426,165
642870,407
644496,618
644564,303
646845,581
647923,324
648024,400
